id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5397890,Studio in Malaga Center,2489890,Fede,,Centro,36.72584,-4.41847,Entire home/apt,64,4,161,2024-06-06,1.42,12,64,18,VFT/MA/000614
5454486,Apartamento  Centro Histórico 3,20326063,Ernesto,,Centro,36.72491,-4.42122,Entire home/apt,115,5,48,2024-06-19,0.45,4,310,2,VTF/MA/15335
5461321,Malaga Exclusive Penthouse Private Solarium Roof Terrace B,8544512,Malaga Center Flat,,Centro,36.72047,-4.41098,Entire home/apt,146,1,54,2024-03-07,0.48,73,266,9,VFT/MA/00751
5465561,Studio Flat in Historical Center 2,22835439,Bruno,,Centro,36.72576,-4.42596,Entire home/apt,107,2,21,2018-01-28,0.19,17,76,0,A/MA/01382
5511218,Málaga city center.(Duplex +Apartment),12963003,Maria Jesus,,Centro,36.72515,-4.42698,Entire home/apt,180,1,42,2023-07-16,0.38,6,360,1,CTC-2018119025
5511275,Estudio azul céntrico con patio.,12963003,Maria Jesus,,Centro,36.72601,-4.4274,Entire home/apt,89,1,58,2024-04-14,0.53,6,258,8,CTC-2018119025
5524258,Centro duplex .Calle tranquila .Grupos.3 baños.,12963003,Maria Jesus,,Centro,36.725311,-4.426915,Entire home/apt,154,1,88,2024-06-09,0.80,6,352,15,CTC-2018119530
5553123,"Charming bright apt WIFI, Elevator, 4 Window, A/A",11318862,Maria Palma,,Centro,36.72002,-4.42275,Entire home/apt,140,4,129,2024-05-18,1.17,7,240,21,VUT/MA/01864
5596157,Apartamento centro histórico con fibra óptica,29016701,Álvaro,,Centro,36.72366,-4.41893,Entire home/apt,86,5,106,2024-05-20,1.33,2,277,25,VFT/MA/13617
5614701,New apartment in the center.,29103612,Sheila,,Centro,36.72304,-4.4217,Entire home/apt,107,4,144,2024-05-25,1.28,1,173,10,VFT/MA/01268
5658492,Victoria de Alba House. Apartment 2,29329338,Antonio Jesús,,Centro,36.72547,-4.41681,Entire home/apt,96,2,124,2024-06-30,1.10,2,252,10,VFT/MA/08485
